"1528271","-105.03427134","40.53515896","2325","","","","Kodiak","","",""," ","2325 Kodiak ","Fort Collins","80525","Larimer"
"1528272","-105.03456533","40.53514809","2319","","","","Kodiak","","",""," ","2319 Kodiak ","Fort Collins","80525","Larimer"
"1528273","-105.03484624","40.53514768","2313","","","","Kodiak","","",""," ","2313 Kodiak ","Fort Collins","80525","Larimer"
"1528274","-105.03509808","40.5351485","2307","","","","Kodiak","","",""," ","2307 Kodiak ","Fort Collins","80525","Larimer"
"1528275","-105.34281913","40.85156634","6492","","","Cr","80C","","",""," ","6492 Cr 80C ","Livermore","80536","Larimer"
"1528276","-105.35549805","40.6336586","4440","","","","Stove","Prairie","",""," ","4440 Stove Prairie ","Bellvue","80512","Larimer"
"1528277","-105.4458825","40.88289014","12927","","","Cr","80C","","",""," ","12927 Cr 80C ","Livermore","80536","Larimer"
"1528278","-105.44390279","40.88289725","146","","","","Gunflint","","",""," ","146 Gunflint ","Livermore","80536","Larimer"
"1528279","-105.43646567","40.9772273","275","","","","Perseus","","",""," ","275 Perseus ","Livermore","80536","Larimer"
"1528280","-105.09941048","40.43168529","3919","","","","Boulder","","",""," ","3919 Boulder ","Loveland","80538","Larimer"
"1528281","-105.0991231","40.43168539","3907","","","","Boulder","","",""," ","3907 Boulder ","Loveland","80538","Larimer"
"1528282","-105.09885784","40.43160704","3865","","","","Boulder","","",""," ","3865 Boulder ","Loveland","80538","Larimer"
"1528283","-105.10682617","40.54869262","2830","","","","Claremont","","",""," ","2830 Claremont ","Fort Collins","80526","Larimer"
"1528284","-105.10783541","40.54810683","1649","","","","Swallow","","",""," ","1649 Swallow ","Fort Collins","80526","Larimer"
"1528285","-105.10764127","40.54800476","1643","","","","Swallow","","",""," ","1643 Swallow ","Fort Collins","80526","Larimer"
"1528286","-105.10745459","40.54789126","1637","","","","Swallow","","",""," ","1637 Swallow ","Fort Collins","80526","Larimer"
"1528287","-105.10727075","40.54775743","1631","","","","Swallow","","",""," ","1631 Swallow ","Fort Collins","80526","Larimer"
"1528288","-105.1071088","40.54760943","1625","","","","Swallow","","",""," ","1625 Swallow ","Fort Collins","80526","Larimer"
