"238166","-104.73497592","39.57772633","7601"," ","South"," ","Quatar","Way"," ",""," ","7601 South Quatar Way ","Aurora Co","80016","Arapahoe"
"238167","-104.73130699","39.57765494","22044"," ","East"," ","Jamison","Place"," ",""," ","22044 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238168","-104.73093982","39.57765078","22076"," ","East"," ","Jamison","Place"," ",""," ","22076 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238169","-104.73057267","39.57764642","22084"," ","East"," ","Jamison","Place"," ",""," ","22084 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238170","-104.731674","39.57766413","22036"," ","East"," ","Jamison","Place"," ",""," ","22036 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238171","-104.73277533","39.57768163","21952"," ","East"," ","Jamison","Place"," ",""," ","21952 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238172","-104.73204101","39.57767309","22004"," ","East"," ","Jamison","Place"," ",""," ","22004 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238173","-104.73240817","39.57767747","21960"," ","East"," ","Jamison","Place"," ",""," ","21960 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238174","-104.73314233","39.57769081","21920"," ","East"," ","Jamison","Place"," ",""," ","21920 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238175","-104.73350935","39.57769977","21912"," ","East"," ","Jamison","Place"," ",""," ","21912 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238176","-104.73387651","39.57770414","7633"," ","South"," ","Quatar","Way"," ",""," ","7633 South Quatar Way ","Aurora Co","80016","Arapahoe"
"238177","-104.73461067","39.57771748","7609"," ","South"," ","Quatar","Way"," ",""," ","7609 South Quatar Way ","Aurora Co","80016","Arapahoe"
"238178","-104.7301994","39.57775429","22110"," ","East"," ","Jamison","Place"," ",""," ","22110 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238179","-104.73130349","39.57777021","22046"," ","East"," ","Jamison","Place"," ",""," ","22046 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238180","-104.73093625","39.57776856","22074"," ","East"," ","Jamison","Place"," ",""," ","22074 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238181","-104.73056902","39.57776653","22086"," ","East"," ","Jamison","Place"," ",""," ","22086 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238182","-104.73167042","39.57778191","22034"," ","East"," ","Jamison","Place"," ",""," ","22034 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238183","-104.72978018","39.57769605","22120"," ","East"," ","Jamison","Place"," ",""," ","22120 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238184","-104.73203736","39.57779317","22006"," ","East"," ","Jamison","Place"," ",""," ","22006 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238185","-104.73240459","39.57779526","21962"," ","East"," ","Jamison","Place"," ",""," ","21962 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238186","-104.73313876","39.5778086","21922"," ","East"," ","Jamison","Place"," ",""," ","21922 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238187","-104.73350571","39.57781984","21910"," ","East"," ","Jamison","Place"," ",""," ","21910 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238188","-104.73387293","39.57782193","7631"," ","South"," ","Quatar","Way"," ",""," ","7631 South Quatar Way ","Aurora Co","80016","Arapahoe"
"238189","-104.73460711","39.57783526","7607"," ","South"," ","Quatar","Way"," ",""," ","7607 South Quatar Way ","Aurora Co","80016","Arapahoe"
"238190","-104.73021647","39.57785438","22108"," ","East"," ","Jamison","Place"," ",""," ","22108 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238191","-104.73130046","39.57786993","22054"," ","East"," ","Jamison","Place"," ",""," ","22054 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238192","-104.73093322","39.57786827","22066"," ","East"," ","Jamison","Place"," ",""," ","22066 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238193","-104.73056599","39.57786624","22094"," ","East"," ","Jamison","Place"," ",""," ","22094 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238194","-104.72983354","39.57781004","22128"," ","East"," ","Jamison","Place"," ",""," ","22128 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238195","-104.73166739","39.57788162","22026"," ","East"," ","Jamison","Place"," ",""," ","22026 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238196","-104.7327688","39.57789661","21942"," ","East"," ","Jamison","Place"," ",""," ","21942 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238197","-104.73203434","39.57789288","22014"," ","East"," ","Jamison","Place"," ",""," ","22014 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238198","-104.73240157","39.57789496","21970"," ","East"," ","Jamison","Place"," ",""," ","21970 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238199","-104.73313574","39.5779083","21930"," ","East"," ","Jamison","Place"," ",""," ","21930 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238200","-104.73350269","39.57791956","21902"," ","East"," ","Jamison","Place"," ",""," ","21902 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238201","-104.73386991","39.57792164","7625"," ","South"," ","Quatar","Way"," ",""," ","7625 South Quatar Way ","Aurora Co","80016","Arapahoe"
"238202","-104.73460409","39.57793497","7605"," ","South"," ","Quatar","Way"," ",""," ","7605 South Quatar Way ","Aurora Co","80016","Arapahoe"
"238203","-104.72987626","39.57790433","22130"," ","East"," ","Jamison","Place"," ",""," ","22130 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238204","-104.7305625","39.57798139","22096"," ","East"," ","Jamison","Place"," ",""," ","22096 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238205","-104.73092965","39.57798575","22064"," ","East"," ","Jamison","Place"," ",""," ","22064 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238206","-104.73129682","39.57798992","22056"," ","East"," ","Jamison","Place"," ",""," ","22056 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238207","-104.73166382","39.5779991","22024"," ","East"," ","Jamison","Place"," ",""," ","22024 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238208","-104.73203085","39.57800806","22016"," ","East"," ","Jamison","Place"," ",""," ","22016 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238209","-104.732398","39.57801244","21972"," ","East"," ","Jamison","Place"," ",""," ","21972 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238210","-104.73276516","39.5780166","21940"," ","East"," ","Jamison","Place"," ",""," ","21940 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238211","-104.7334992","39.57803474","21900"," ","East"," ","Jamison","Place"," ",""," ","21900 East Jamison Place ","Aurora Co","80016","Arapahoe"
"238212","-104.71213178","39.61364415","5645"," ","South"," ","Buchanan","Street"," ",""," ","5645 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238213","-104.71204509","39.61378592","5647"," ","South"," ","Buchanan","Street"," ",""," ","5647 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238214","-104.71281003","39.61378997","5635"," ","South"," ","Buchanan","Street"," ",""," ","5635 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238215","-104.71265193","39.61392692","5627"," ","South"," ","Buchanan","Street"," ",""," ","5627 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238216","-104.71251378","39.61408694","5625"," ","South"," ","Buchanan","Street"," ",""," ","5625 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238217","-104.71298618","39.61403642","5633"," ","South"," ","Biloxi","Way"," ",""," ","5633 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238218","-104.71360401","39.61418249","5621"," ","South"," ","Biloxi","Way"," ",""," ","5621 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238219","-104.7119154","39.61416369","5644"," ","South"," ","Buchanan","Street"," ",""," ","5644 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238220","-104.71286577","39.6141867","5641"," ","South"," ","Biloxi","Way"," ",""," ","5641 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238221","-104.71376002","39.6142519","5613"," ","South"," ","Biloxi","Way"," ",""," ","5613 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238222","-104.71207409","39.61426706","5638"," ","South"," ","Buchanan","Street"," ",""," ","5638 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238223","-104.71391142","39.61432145","5611"," ","South"," ","Biloxi","Way"," ",""," ","5611 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238224","-104.71218741","39.61440767","5634"," ","South"," ","Buchanan","Street"," ",""," ","5634 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238225","-104.71042973","39.61445513","5630"," ","South"," ","Catawba","Way"," ",""," ","5630 South Catawba Way ","Aurora Co","80016","Arapahoe"
"238226","-104.71430854","39.61450725","5603"," ","South"," ","Biloxi","Way"," ",""," ","5603 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238227","-104.71229894","39.61451796","5628"," ","South"," ","Buchanan","Street"," ",""," ","5628 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238228","-104.71327224","39.61453563","5626"," ","South"," ","Biloxi","Way"," ",""," ","5626 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238229","-104.71008652","39.61455831","5633"," ","South"," ","Coolidge","Court"," ",""," ","5633 South Coolidge Court ","Aurora Co","80016","Arapahoe"
"238230","-104.71446666","39.61456266","5601"," ","South"," ","Biloxi","Way"," ",""," ","5601 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238231","-104.71462596","39.61462926","5593"," ","South"," ","Biloxi","Way"," ",""," ","5593 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238232","-104.71241772","39.61463223","5624"," ","South"," ","Buchanan","Street"," ",""," ","5624 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238233","-104.71346034","39.61464721","5622"," ","South"," ","Biloxi","Way"," ",""," ","5622 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238234","-104.71308316","39.61466291","5607"," ","South"," ","Buchanan","Street"," ",""," ","5607 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238235","-104.71479496","39.61469259","5591"," ","South"," ","Biloxi","Way"," ",""," ","5591 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238236","-104.71363479","39.61470581","5616"," ","South"," ","Biloxi","Way"," ",""," ","5616 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238237","-104.71016442","39.61471608","5623"," ","South"," ","Coolidge","Court"," ",""," ","5623 South Coolidge Court ","Aurora Co","80016","Arapahoe"
"238238","-104.70951192","39.61472504","5636"," ","South"," ","Coolidge","Court"," ",""," ","5636 South Coolidge Court ","Aurora Co","80016","Arapahoe"
"238239","-104.71253401","39.61475309","5618"," ","South"," ","Buchanan","Street"," ",""," ","5618 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238240","-104.71495113","39.61478165","5583"," ","South"," ","Biloxi","Way"," ",""," ","5583 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238241","-104.71059919","39.61477682","5610"," ","South"," ","Catawba","Way"," ",""," ","5610 South Catawba Way ","Aurora Co","80016","Arapahoe"
"238242","-104.7132591","39.61481665","5605"," ","South"," ","Buchanan","Street"," ",""," ","5605 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238243","-104.71390311","39.61482142","5612"," ","South"," ","Biloxi","Way"," ",""," ","5612 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238244","-104.71510385","39.61486947","5581"," ","South"," ","Biloxi","Way"," ",""," ","5581 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238245","-104.71025037","39.61488168","5613"," ","South"," ","Coolidge","Court"," ",""," ","5613 South Coolidge Court ","Aurora Co","80016","Arapahoe"
"238246","-104.71408821","39.61490117","5602"," ","South"," ","Biloxi","Way"," ",""," ","5602 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238247","-104.71134871","39.61489632","5591"," ","South"," ","Catawba","Way"," ",""," ","5591 South Catawba Way ","Aurora Co","80016","Arapahoe"
"238248","-104.70842144","39.61492835","23991"," ","East"," ","Garden","Drive"," ",""," ","23991 East Garden Drive ","Aurora Co","80016","Arapahoe"
"238249","-104.70962084","39.61499631","5616"," ","South"," ","Coolidge","Court"," ",""," ","5616 South Coolidge Court ","Aurora Co","80016","Arapahoe"
"238250","-104.71070262","39.61493716","5600"," ","South"," ","Catawba","Way"," ",""," ","5600 South Catawba Way ","Aurora Co","80016","Arapahoe"
"238251","-104.71341991","39.61495467","5597"," ","South"," ","Buchanan","Street"," ",""," ","5597 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238252","-104.71524869","39.61496947","5573"," ","South"," ","Biloxi","Way"," ",""," ","5573 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238253","-104.71425565","39.61497333","5596"," ","South"," ","Biloxi","Way"," ",""," ","5596 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238254","-104.71274283","39.61498507","5608"," ","South"," ","Buchanan","Street"," ",""," ","5608 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238255","-104.71442027","39.61502846","5592"," ","South"," ","Biloxi","Way"," ",""," ","5592 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238256","-104.71033345","39.61504814","5603"," ","South"," ","Coolidge","Court"," ",""," ","5603 South Coolidge Court ","Aurora Co","80016","Arapahoe"
"238257","-104.71538452","39.61507594","5571"," ","South"," ","Biloxi","Way"," ",""," ","5571 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238258","-104.71370665","39.61506204","5595"," ","South"," ","Buchanan","Street"," ",""," ","5595 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238259","-104.70841966","39.61512166","23981"," ","East"," ","Garden","Drive"," ",""," ","23981 East Garden Drive ","Aurora Co","80016","Arapahoe"
"238260","-104.71079062","39.6150933","5590"," ","South"," ","Catawba","Way"," ",""," ","5590 South Catawba Way ","Aurora Co","80016","Arapahoe"
"238261","-104.71157705","39.61508522","5581"," ","South"," ","Catawba","Way"," ",""," ","5581 South Catawba Way ","Aurora Co","80016","Arapahoe"
"238262","-104.71285607","39.61511086","5604"," ","South"," ","Buchanan","Street"," ",""," ","5604 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238263","-104.71457766","39.61510949","5586"," ","South"," ","Biloxi","Way"," ",""," ","5586 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238264","-104.71386481","39.61513016","5587"," ","South"," ","Buchanan","Street"," ",""," ","5587 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238265","-104.71551711","39.61518637","5563"," ","South"," ","Biloxi","Way"," ",""," ","5563 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238266","-104.71041266","39.61520692","5593"," ","South"," ","Coolidge","Court"," ",""," ","5593 South Coolidge Court ","Aurora Co","80016","Arapahoe"
"238267","-104.71472671","39.61519866","5582"," ","South"," ","Biloxi","Way"," ",""," ","5582 South Biloxi Way ","Aurora Co","80016","Arapahoe"
"238268","-104.71402295","39.6151983","5585"," ","South"," ","Buchanan","Street"," ",""," ","5585 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238269","-104.70986451","39.61518578","23848"," ","East"," ","Powers","Drive"," ",""," ","23848 East Powers Drive ","Aurora Co","80016","Arapahoe"
"238270","-104.70961164","39.61520116","23868"," ","East"," ","Powers","Drive"," ",""," ","23868 East Powers Drive ","Aurora Co","80016","Arapahoe"
"238271","-104.70940841","39.61519979","23888"," ","East"," ","Powers","Drive"," ",""," ","23888 East Powers Drive ","Aurora Co","80016","Arapahoe"
"238272","-104.7091829","39.61520788","23908"," ","East"," ","Powers","Drive"," ",""," ","23908 East Powers Drive ","Aurora Co","80016","Arapahoe"
"238273","-104.71298849","39.61523128","5598"," ","South"," ","Buchanan","Street"," ",""," ","5598 South Buchanan Street ","Aurora Co","80016","Arapahoe"
"238274","-104.71175088","39.61521216","5571"," ","South"," ","Catawba","Way"," ",""," ","5571 South Catawba Way ","Aurora Co","80016","Arapahoe"
