"493082","-106.7538387","37.25046833","13750"," "," ","Cr","326"," ","",""," ","13750 Cr 326 ","Archuleta","","Archuleta"
"493083","-107.03505045","37.27400564","1531"," ","West","Us Hwy","160"," ","",""," ","1531 West Us Hwy 160 ","Archuleta","","Archuleta"
"493084","-107.03784472","37.27685985","18"," "," ","","D","Place","",""," ","18 D Place ","Archuleta","","Archuleta"
"493085","-106.98812252","37.3075629","3100"," "," ","Cr","200"," ","",""," ","3100 Cr 200 ","Archuleta","","Archuleta"
"493086","-107.4792802","37.28677373","31757"," ","West","Us Hwy","160"," ","",""," ","31757 West Us Hwy 160 ","Archuleta","","Archuleta"
"493087","-106.77059364","37.02782561","3791"," "," ","Cr","382"," ","",""," ","3791 Cr 382 ","Archuleta","","Archuleta"
"493088","-106.98504352","37.2253886","3142","A"," ","Us Hwy","84"," ","",""," ","3142 A Us Hwy 84 ","Archuleta","","Archuleta"
"493089","-106.80337423","37.21166931","9146"," "," ","Cr","326"," ","",""," ","9146 Cr 326 ","Archuleta","","Archuleta"
"493090","-107.14924413","37.24051295","9572"," ","West","Us Hwy","160"," ","",""," ","9572 West Us Hwy 160 ","Archuleta","","Archuleta"
"493091","-106.75818891","37.25613699","14243","E"," ","Cr","326"," ","",""," ","14243 E Cr 326 ","Archuleta","","Archuleta"
"493092","-107.02186109","37.26619677","500"," ","West","Us Hwy","160"," ","",""," ","500 West Us Hwy 160 ","Archuleta","","Archuleta"
"493093","-106.99299131","37.26638829","235"," "," ","Us Hwy","84"," ","",""," ","235 Us Hwy 84 ","Archuleta","","Archuleta"
"493094","-106.96699742","37.30790984","4101"," ","East","Us Hwy","160"," ","",""," ","4101 East Us Hwy 160 ","Archuleta","","Archuleta"
"493095","-106.99065917","37.31291548","3581"," "," ","Cr","200"," ","",""," ","3581 Cr 200 ","Archuleta","","Archuleta"
"493096","-107.42993889","37.00167483","119","B"," ","Cr","975"," ","",""," ","119 B Cr 975 ","Archuleta","","Archuleta"
"493097","-107.44127149","37.0026837","181"," "," ","Cr","975"," ","",""," ","181 Cr 975 ","Archuleta","","Archuleta"
"493098","-107.47563383","37.01075182","1841"," "," ","Cr","977"," ","",""," ","1841 Cr 977 ","Archuleta","","Archuleta"
"493099","-107.4408751","37.01570795","1401"," "," ","Cr","975"," ","",""," ","1401 Cr 975 ","Archuleta","","Archuleta"
"493100","-106.89324172","37.01057197","3330"," "," ","Cr","391"," ","",""," ","3330 Cr 391 ","Archuleta","","Archuleta"
"493101","-107.22442472","37.01222042","28575"," "," ","Cr","500"," ","",""," ","28575 Cr 500 ","Archuleta","","Archuleta"
"493102","-107.44703736","37.01972045","19216"," "," ","St Hwy","151"," ","",""," ","19216 St Hwy 151 ","Archuleta","","Archuleta"
"493103","-107.47741795","37.02396485","20846"," "," ","St Hwy","151"," ","",""," ","20846 St Hwy 151 ","Archuleta","","Archuleta"
"493104","-107.47383173","37.0238176","20750"," "," ","St Hwy","151"," ","",""," ","20750 St Hwy 151 ","Archuleta","","Archuleta"
"493105","-107.13429882","37.02511253","1901"," "," ","Cr","551"," ","",""," ","1901 Cr 551 ","Archuleta","","Archuleta"
"493106","-107.44147906","37.02287951","695"," "," ","Cr","975"," ","",""," ","695 Cr 975 ","Archuleta","","Archuleta"
"493107","-107.39534417","37.03429772","39651","A"," ","Cr","500"," ","",""," ","39651 A Cr 500 ","Archuleta","","Archuleta"
"493108","-107.1436593","37.03655811","22064"," "," ","Cr","500"," ","",""," ","22064 Cr 500 ","Archuleta","","Archuleta"
"493109","-107.14773861","37.03682414","21916"," "," ","Cr","500"," ","",""," ","21916 Cr 500 ","Archuleta","","Archuleta"
"493110","-107.40887953","37.06461025","14618"," "," ","St Hwy","151"," ","",""," ","14618 St Hwy 151 ","Archuleta","","Archuleta"
"493111","-107.40140163","37.08480192","12901"," "," ","St Hwy","151"," ","",""," ","12901 St Hwy 151 ","Archuleta","","Archuleta"
