"2060112","-104.80836683","38.77720816","3670"," ","","","Strawberry Field","Grove","","UNIT","E","3670 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060113","-104.80785716","38.7772234","3695"," ","","","Strawberry Field","Grove","","UNIT","D","3695 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060114","-104.80846686","38.77691111","3690"," ","","","Strawberry Field","Grove","","UNIT","D","3690 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060115","-104.80838157","38.77691417","3690"," ","","","Strawberry Field","Grove","","UNIT","E","3690 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060116","-104.80807543","38.77669763","3710"," ","","","Strawberry Field","Grove","","UNIT","D","3710 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060117","-104.80802612","38.77675812","3710"," ","","","Strawberry Field","Grove","","UNIT","E","3710 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060118","-104.80731796","38.77660226","3730"," ","","","Strawberry Field","Grove","","UNIT","B","3730 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060119","-104.80733817","38.77652802","3730"," ","","","Strawberry Field","Grove","","UNIT","C","3730 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060120","-104.8181989","38.80460705","2001"," ","","","Southgate","Road","","APT","1","2001 Southgate Road APT 1","Colorado Springs","80905","ElPaso"
"2060121","-104.81786797","38.8047563","2005"," ","","","Southgate","Road","","APT","9","2005 Southgate Road APT 9","Colorado Springs","80905","ElPaso"
"2060122","-104.80630523","38.77727411","3790"," ","","","Strawberry Field","Grove","","UNIT","F","3790 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060123","-104.8074042","38.77732292","3730"," ","","","Penny","Point","","UNIT","F","3730 Penny Point UNIT F","Colorado Springs","80906","ElPaso"
