"2330169","2920515.95557","1214426.49009","223",""," ","","Crosscut","Drive"," ","","","223 Crosscut Drive ","","80482","Grand"
"2330170","2910171.84797","1223381.29108","223",""," ","","Norgren","Road"," ","","","223 Norgren Road ","","80442","Grand"
"2330171","2917588.81411","1211833.1206","223",""," ","","Timber Lake","Way"," ","","","223 Timber Lake Way ","","80482","Grand"
"2330172","2909885.54801","1223773.5825","223",""," ","","W Eisenhower","Drive"," ","","","223 W Eisenhower Drive ","","80442","Grand"
"2330173","2892536.20794","1313323.19879","224",""," ","Co Rd","County Road 4033","Road"," ","","","224 County Road 4033 Road ","","80447","Grand"
"2330174","2892133.75074","1313860.94206","224",""," ","Co Rd","County Road 4034","Road"," ","","","224 County Road 4034 Road ","","80447","Grand"
"2330175","2895073.18882","1315327.75632","224",""," ","Co Rd","County Road 442","Road"," ","","","224 County Road 442 Road ","","80447","Grand"
"2330176","2894391.41575","1315155.06311","224",""," ","Co Rd","County Road 4421","Road"," ","","","224 County Road 4421 Road ","","80447","Grand"
"2330177","2916130.49598","1223194.86566","224",""," ","Co Rd","County Road 838"," "," ","","","224 County Road 838 ","","80478","Grand"
"2330178","2916130.49598","1223194.86566","224",""," ","Co Rd","County Road 838"," "," ","","","224 County Road 838 ","","80478","Grand"
"2330179","2916130.49598","1223194.86566","224",""," ","Co Rd","County Road 838"," "," ","","","224 County Road 838 ","","80478","Grand"
"2330180","2916130.49598","1223194.86566","224",""," ","Co Rd","County Road 838"," "," ","","","224 County Road 838 ","","80478","Grand"
"2330181","2916130.49598","1223194.86566","224",""," ","Co Rd","County Road 838"," "," ","","","224 County Road 838 ","","80478","Grand"
"2330182","2916130.49598","1223194.86566","224",""," ","Co Rd","County Road 838"," "," ","","","224 County Road 838 ","","80478","Grand"
"2330183","2916130.49598","1223194.86566","224",""," ","Co Rd","County Road 838"," "," ","","","224 County Road 838 ","","80478","Grand"
"2330184","2916130.49598","1223194.86566","224",""," ","Co Rd","County Road 838"," "," ","","","224 County Road 838 ","","80478","Grand"
"2330185","2914223.81577","1219831.81698","224",""," ","","Cozens Pointe","Circle"," ","","","224 Cozens Pointe Circle ","","80482","Grand"
"2330186","2920606.96916","1214386.59844","224",""," ","","Crosscut","Drive"," ","","","224 Crosscut Drive ","","80482","Grand"
"2330187","2917579.52837","1211076.19495","224",""," ","","Lake Trail Ct","Court"," ","","","224 Lake Trail Ct Court ","","80482","Grand"
