670037,031-002900-354388,NULL,-105.01413035,39.75855835,2900,NULL,North,NULL,Wyandot,Street,NULL,Unit,103,2900 North Wyandot Street Unit 103,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C8428668AE7405AC0F0CA986918E14340
670038,031-002900-354389,NULL,-105.01419194,39.75855932,2900,NULL,North,NULL,Wyandot,Street,NULL,Unit,102,2900 North Wyandot Street Unit 102,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C987BEC87E8405AC0D85BB68218E14340
670039,031-002900-354390,NULL,-105.01425191,39.75872722,2900,NULL,North,NULL,Wyandot,Street,NULL,Unit,107,2900 North Wyandot Street Unit 107,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C80F6AD80E9405AC0604088011EE14340
670040,031-002900-354391,NULL,-105.01400116,39.75855496,2900,NULL,North,NULL,Wyandot,Street,NULL,Unit,105,2900 North Wyandot Street Unit 105,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC40F8162E5405AC010B8014E18E14340
670041,031-002900-354392,NULL,-105.01400116,39.75855496,2900,NULL,North,NULL,Wyandot,Street,NULL,Unit,305,2900 North Wyandot Street Unit 305,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC40F8162E5405AC010B8014E18E14340
670042,031-000055-354393,NULL,-104.98160307,39.71761675,55,NULL,North,NULL,Pennsylvania,Street,NULL,NULL,NULL,55 North Pennsylvania Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB893189CD23E5AC0204F99D5DADB4340
670043,031-000074-354394,NULL,-104.98128550,39.71789882,74,NULL,North,NULL,Pennsylvania,Street,NULL,NULL,NULL,74 North Pennsylvania Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CAC6D4D64CD3E5AC020DBD324E4DB4340
670044,031-001583-354395,NULL,-104.97608771,39.68807382,1583,NULL,South,NULL,Ogden,Street,NULL,NULL,NULL,1583 South Ogden Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CAC0B9538783E5AC068EB8ACD12D84340
670045,031-001587-354396,NULL,-104.97608849,39.68796950,1587,NULL,South,NULL,Ogden,Street,NULL,NULL,NULL,1587 South Ogden Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB06AD83B783E5AC0A89273620FD84340
670046,031-003421-354397,NULL,-104.94299479,39.76494436,3421,NULL,North,NULL,Jackson,Street,NULL,NULL,NULL,3421 North Jackson Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C4CFA6EFF593C5AC0006F5DABE9E14340
670047,031-003425-354398,NULL,-104.94299475,39.76507264,3425,NULL,North,NULL,Jackson,Street,NULL,NULL,NULL,3425 North Jackson Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C28B10D0A5A3C5AC0F847CEE5EDE14340
670048,031-000569-354399,NULL,-105.03841188,39.70649329,569,NULL,South,NULL,Osceola,Street,NULL,NULL,NULL,569 South Osceola Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF445EC5A75425AC018D4FD576EDA4340
670049,031-000685-354400,NULL,-105.03742159,39.70425389,685,NULL,South,NULL,Newton,Street,NULL,NULL,NULL,685 South Newton Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C20E6F41D65425AC0583E8EFD24DA4340
670050,031-000683-354401,NULL,-105.03726991,39.70425954,683,NULL,South,NULL,Newton,Street,NULL,NULL,NULL,683 South Newton Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C48B9D09C62425AC0804A912625DA4340
670051,031-000696-354402,NULL,-105.03670418,39.70412414,696,NULL,South,NULL,Newton,Street,NULL,NULL,NULL,696 South Newton Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CDCF64B5E59425AC0005E8BC220DA4340
670052,031-000694-354403,NULL,-105.03688758,39.70413543,694,NULL,South,NULL,Newton,Street,NULL,NULL,NULL,694 South Newton Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CCCA73A565C425AC0780AA42421DA4340
670053,031-000640-354404,NULL,-105.03584237,39.70481278,640,NULL,South,NULL,Meade,Street,NULL,NULL,NULL,640 South Meade Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C70BB92424B425AC0A0E96B5137DA4340
670054,031-001032-354405,NULL,-104.97722707,39.73165840,1032,NULL,North,NULL,Clarkson,Street,NULL,#,102,1032 North Clarkson Street # 102,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF4CA5CE38A3E5AC0989032F6A6DD4340
670055,031-001032-354406,NULL,-104.97722707,39.73165840,1032,NULL,North,NULL,Clarkson,Street,NULL,#,101,1032 North Clarkson Street # 101,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF4CA5CE38A3E5AC0989032F6A6DD4340
670056,031-001032-354407,NULL,-104.97722707,39.73165840,1032,NULL,North,NULL,Clarkson,Street,NULL,#,206,1032 North Clarkson Street # 206,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF4CA5CE38A3E5AC0989032F6A6DD4340
670057,031-001032-354408,NULL,-104.97722707,39.73165840,1032,NULL,North,NULL,Clarkson,Street,NULL,#,108,1032 North Clarkson Street # 108,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF4CA5CE38A3E5AC0989032F6A6DD4340
670058,031-000171-354409,NULL,-104.98171426,39.71339735,171,NULL,South,NULL,Pennsylvania,Street,NULL,NULL,NULL,171 South Pennsylvania Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CAC29DA66D43E5AC0E8A2C49550DB4340
670059,031-000173-354410,NULL,-104.98171089,39.71330675,173,NULL,South,NULL,Pennsylvania,Street,NULL,NULL,NULL,173 South Pennsylvania Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CE86AC05AD43E5AC01870B19D4DDB4340
670060,031-003568-354411,NULL,-104.88720890,39.76627616,3568,NULL,North,NULL,Xanthia,Street,NULL,NULL,NULL,3568 North Xanthia Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CDC1D3701C8385AC0E8EC144D15E24340
670061,031-003930-354412,NULL,-105.03864284,39.69844316,3930,NULL,West,NULL,Tennessee,Avenue,NULL,NULL,NULL,3930 West Tennessee Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CE0333F2279425AC0E8BDEE9D66D94340
670062,031-001855-354413,NULL,-104.96126684,39.74574958,1855,NULL,North,NULL,Gaylord,Street,NULL,Unit,407,1855 North Gaylord Street Unit 407,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB815186B853D5AC0A03606B174DF4340
670063,031-001855-354414,NULL,-104.96144937,39.74565748,1855,NULL,North,NULL,Gaylord,Street,NULL,Unit,205,1855 North Gaylord Street Unit 205,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA437CE66883D5AC0481707A971DF4340
670064,031-001855-354415,NULL,-104.96141549,39.74592899,1855,NULL,North,NULL,Gaylord,Street,NULL,Unit,203,1855 North Gaylord Street Unit 203,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C88EACBD7873D5AC0C0A1998F7ADF4340
670065,031-004042-354416,NULL,-105.03671504,39.77299664,4042,NULL,North,NULL,Newton,Street,NULL,NULL,NULL,4042 North Newton Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF463E18B59425AC0B8E45998F1E24340
670066,031-001671-354417,NULL,-104.98077786,39.68618663,1671,NULL,South,NULL,Pearl,Street,NULL,NULL,NULL,1671 South Pearl Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C907B8210C53E5AC0705E98F6D4D74340
670067,031-001855-354418,NULL,-104.96125677,39.74593469,1855,NULL,North,NULL,Gaylord,Street,NULL,Unit,202,1855 North Gaylord Street Unit 202,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C48A95538853D5AC0E00D88CE7ADF4340
670068,031-001855-354419,NULL,-104.96125677,39.74593469,1855,NULL,North,NULL,Gaylord,Street,NULL,Unit,302,1855 North Gaylord Street Unit 302,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C48A95538853D5AC0E00D88CE7ADF4340
670069,031-001855-354420,NULL,-104.96126684,39.74574958,1855,NULL,North,NULL,Gaylord,Street,NULL,Unit,207,1855 North Gaylord Street Unit 207,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB815186B853D5AC0A03606B174DF4340
670070,031-001855-354421,NULL,-104.96126018,39.74565208,1855,NULL,North,NULL,Gaylord,Street,NULL,Unit,206,1855 North Gaylord Street Unit 206,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF00D5C50853D5AC0101EC58A71DF4340
670071,031-001855-354422,NULL,-104.96145509,39.74575759,1855,NULL,North,NULL,Gaylord,Street,NULL,Unit,204,1855 North Gaylord Street Unit 204,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C90265D81883D5AC0000558FD74DF4340
670072,031-003316-354423,NULL,-105.03047166,39.76187144,3316,NULL,West,NULL,32Nd,Avenue,NULL,Unit,101,3316 West 32Nd Avenue Unit 101,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C647E633FF3415AC0C092DF0085E14340
670073,031-002325-354424,NULL,-104.98950963,39.75685189,2325,NULL,NULL,NULL,Walnut,Street,NULL,Unit,2,2325 Walnut Street Unit 2,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98B7541F543F5AC0C827948DE0E04340
670074,031-002325-354425,NULL,-104.98944779,39.75689794,2325,NULL,NULL,NULL,Walnut,Street,NULL,Unit,3,2325 Walnut Street Unit 3,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C94C54A20533F5AC09893E012E2E04340
670075,031-002325-354426,NULL,-104.98954983,39.75682575,2325,NULL,NULL,NULL,Walnut,Street,NULL,Unit,1,2325 Walnut Street Unit 1,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA86442C4543F5AC068A7BAA8DFE04340
670076,031-002335-354427,NULL,-104.98968699,39.75702023,2335,NULL,NULL,NULL,Walnut,Street,NULL,Unit,27,2335 Walnut Street Unit 27,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C20A11B04573F5AC0D808C710E6E04340
670077,031-002335-354428,NULL,-104.98973167,39.75699011,2335,NULL,NULL,NULL,Walnut,Street,NULL,Unit,28,2335 Walnut Street Unit 28,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB0ACF9C6573F5AC030AC2015E5E04340
