540052,013-003705-091306,NULL,-105.25034553,39.97538471,3705,NULL, ,NULL,Emerson, ,NULL, , ,3705 Emerson ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CACB73DA905505AC03816F967D9FC4340
540053,013-001155-091307,NULL,-105.28289594,40.04532229,1155,NULL, ,NULL,Oakdale, ,NULL, , ,1155 Oakdale ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C08B193F71A525AC0F838E61ECD054440
540054,013-000350-091308,NULL,-105.24885742,39.98754513,350,NULL, ,NULL,S, ,NULL, , ,350 S ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C786FB147ED4F5AC0D00AF6E067FE4340
540055,013-002410-091309,NULL,-105.26521412,40.03787566,2410,NULL, ,NULL,Jasper, ,NULL, , ,2410 Jasper ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CB4E2A344F9505AC0A0A7121CD9044440
540056,013-006400-091310,NULL,-105.20227732,40.05516509,6400,NULL, ,NULL,Jib, ,NULL, , ,6400 Jib , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C344F8F1CF24C5AC0E8454AA60F074440
540057,013-001720-091311,NULL,-105.27068928,39.99697371,1720,NULL, ,NULL,Bluebell, ,NULL, , ,1720 Bluebell ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C148A25F952515AC0C8DBA5D59CFF4340
540058,013-003735-091312,NULL,-105.24700936,40.03713990,3735,NULL, ,NULL,Iris, ,NULL, , ,3735 Iris ,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CC01E5E00CF4F5AC0C0A40B00C1044440
540059,013-005049-091313,NULL,-105.23590091,40.02958222,5049,NULL, ,NULL,Valmont, ,NULL, , ,5049 Valmont ,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CDC752200194F5AC078479F59C9034440
540060,013-001087-091314,NULL,-105.19795480,40.00715964,1087,NULL, ,NULL,Crestmoor, ,NULL, , ,1087 Crestmoor , ,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C442B9E4AAB4C5AC0E087659BEA004440
540061,013-004309-091315,NULL,-105.24509540,39.97860020,4309,NULL, ,NULL,Butler, ,NULL, , ,4309 Butler ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD8B39BA4AF4F5AC0C82A82C542FD4340
