2400074,107-030801-019777,NULL,-106.84230647,40.36735281,30801,,,Cr,14E,NULL,NULL,,,30801 Cr 14E ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C583E6259E8B55AC098EEAF6A052F4440
2400075,107-035255-019778,NULL,-106.80396568,40.43322825,35255,,,,Priest Creek,Road,NULL,,,35255 Priest Creek Road ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CF4D2792C74B35AC01051FF0574374440
2400076,107-000640-019779,NULL,-107.25032987,40.49699661,640,,East,,Jefferson,Avenue,NULL,,,640 East Jefferson Avenue ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CE85C956705D05AC0A8CAB8959D3F4440
2400077,107-000208-019780,NULL,-106.96043789,40.27473194,208,,,,Bell,Avenue,,,,208 Bell Avenue ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CC8EB7CD077BD5AC0C0BB8C6A2A234440
2400078,107-054265-019781,NULL,-106.92732422,40.70757426,54265,,,Cr,62,NULL,NULL,,,54265 Cr 62 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CB4A4B24759BB5AC0483E1BCB915A4440
2400079,107-001100-019782,NULL,-107.27112811,40.49430557,1100,,West,,Jefferson,Avenue,NULL,UNIT,12,1100 West Jefferson Avenue UNIT 12,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CFCA9BB295AD15AC0C0B0A867453F4440
2400080,107-000150-019783,NULL,-107.26165920,40.49467921,150,,North,,2Nd,Street,NULL,,,150 North 2Nd Street ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CE0863806BFD05AC0882FF6A5513F4440
2400081,107-025995-019784,NULL,-106.93838858,40.42056989,25995,,,Cr,43,NULL,NULL,,,25995 Cr 43 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C8C82F98E0EBC5AC088C3F33BD5354440
2400082,107-000307-019785,NULL,-106.90839336,40.15414896,307,,,,Main,Street,,,,307 Main Street ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C606CE91D23BA5AC0901A3527BB134440
2400083,107-042655-019786,NULL,-107.29235103,40.53795780,42655,,,Cr,76,NULL,NULL,,,42655 Cr 76 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CF46B1BE1B5D25AC0B04121CDDB444440
2400084,107-063780-019787,NULL,-107.29051002,40.85243857,63780,,,Cr,1W,NULL,NULL,,,63780 Cr 1W ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C388B53B797D25AC0684B06B51C6D4440
2400085,107-024900-019788,NULL,-106.96975093,40.07536924,24900,,,,Mtn Ridge,Trail,NULL,,,24900 Mtn Ridge Trail ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CE01B306610BE5AC01805FCB2A5094440
2400086,107-029090-019789,NULL,-106.87702187,40.73035467,29090,,,,River,Drive,,,,29090 River Drive ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CD44E552021B85AC0C81007437C5D4440
2400087,107-031748-019790,NULL,-106.87837731,40.37958426,31748,,,Cr,35,NULL,NULL,,,31748 Cr 35 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C684B7B5537B85AC068638F3796304440
