"1740155","-107.67712097","38.02056458","400"," "," ","","Pinecrest","Drive"," "," "," ","400 Pinecrest Drive ","Ouray","","Ouray"
"1740156","-107.67562166","38.02066367","322"," "," ","","Oak","Street"," "," "," ","322 Oak Street ","Ouray","","Ouray"
"1740157","-107.67609897","38.02065784","201"," "," ","","Queen","Street"," "," "," ","201 Queen Street ","Ouray","","Ouray"
"1740158","-107.66762034","38.02073943","404"," "," ","","6Th","Street"," "," "," ","404 6Th Street ","Ouray","","Ouray"
"1740159","-107.6680909","38.02077227","415"," "," ","","5Th","Street"," "," "," ","415 5Th Street ","Ouray","","Ouray"
"1740160","-107.67561796","38.02077266","326"," "," ","","Oak","Street"," "," "," ","326 Oak Street ","Ouray","","Ouray"
"1740161","-107.67058088","38.02073542","332"," "," ","","4Th","Avenue"," "," "," ","332 4Th Avenue ","Ouray","","Ouray"
"1740162","-107.67066898","38.02075526","328"," "," ","","4Th","Avenue"," "," "," ","328 4Th Avenue ","Ouray","","Ouray"
"1740163","-107.66893616","38.02075521","444"," "," ","","4Th","Avenue"," "," "," ","444 4Th Avenue ","Ouray","","Ouray"
"1740164","-107.66922625","38.02076027","432"," "," ","","4Th","Avenue"," "," "," ","432 4Th Avenue ","Ouray","","Ouray"
"1740165","-107.66933858","38.02074621","430"," "," ","","4Th","Avenue"," "," "," ","430 4Th Avenue ","Ouray","","Ouray"
"1740166","-107.66970503","38.02076816","400"," "," ","","4Th","Avenue"," "," "," ","400 4Th Avenue ","Ouray","","Ouray"
"1740167","-107.67226534","38.02074386","220"," "," ","","4Th","Avenue"," "," "," ","220 4Th Avenue ","Ouray","","Ouray"
"1740168","-107.67240411","38.0207543","210"," "," ","","4Th","Avenue"," "," "," ","210 4Th Avenue ","Ouray","","Ouray"
"1740169","-107.66767217","38.02085391","410"," "," ","","6Th","Street"," "," "," ","410 6Th Street ","Ouray","","Ouray"
"1740170","-107.67265973","38.02072665","403"," "," ","","2Nd","Street"," "," "," ","403 2Nd Street ","Ouray","","Ouray"
"1740171","-107.6705945","38.02087911","410"," "," ","","4Th","Street"," "," "," ","410 4Th Street ","Ouray","","Ouray"
"1740172","-107.668323","38.02090906","417"," "," ","","5Th","Street"," "," "," ","417 5Th Street ","Ouray","","Ouray"
"1740173","-107.67323777","38.02079852","136"," "," ","","4Th","Avenue"," "," "," ","136 4Th Avenue ","Ouray","","Ouray"
"1740174","-107.671166","38.02076653","405"," "," ","","Main","Street"," "," "," ","405 Main Street ","Ouray","","Ouray"
"1740175","-107.66766499","38.02103691","420"," "," ","","6Th","Street"," "," "," ","420 6Th Street ","Ouray","","Ouray"
"1740176","-107.6725873","38.02086349","411"," "," ","","2Nd","Street"," "," "," ","411 2Nd Street ","Ouray","","Ouray"
"1740177","-107.66902939","38.02104184","400"," "," ","","5Th","Street"," "," "," ","400 5Th Street ","Ouray","","Ouray"
"1740178","-107.67173238","38.02075019","400"," "," ","","Main","Street"," "," "," ","400 Main Street ","Ouray","","Ouray"
"1740179","-107.66973853","38.02100983","419"," "," ","","4Th","Street"," "," "," ","419 4Th Street ","Ouray","","Ouray"
"1740180","-107.6704038","38.02106557","422"," "," ","","4Th","Street"," "," "," ","422 4Th Street ","Ouray","","Ouray"
"1740181","-107.67339786","38.02080788","102"," "," ","","4Th","Avenue"," "," "," ","102 4Th Avenue ","Ouray","","Ouray"
"1740182","-107.66768269","38.02114755","426"," "," ","","6Th","Street"," "," "," ","426 6Th Street ","Ouray","","Ouray"
"1740183","-107.67231253","38.02099903","421"," "," ","","2Nd","Street"," "," "," ","421 2Nd Street ","Ouray","","Ouray"
"1740184","-107.66930317","38.02144568","431"," "," ","","5Th","Avenue"," "," "," ","431 5Th Avenue ","Ouray","","Ouray"
"1740185","-107.67170085","38.02143414","472"," "," ","","Main","Street"," "," "," ","472 Main Street ","Ouray","","Ouray"
"1740186","-107.66968535","38.02142179","445"," "," ","","4Th","Street"," "," "," ","445 4Th Street ","Ouray","","Ouray"
"1740187","-107.67439047","38.02127163","117"," "," ","","5Th Avenue","Court"," "," "," ","117 5Th Avenue Court ","Ouray","","Ouray"
"1740188","-107.6705269","38.02144574","329"," "," ","","5Th","Avenue"," "," "," ","329 5Th Avenue ","Ouray","","Ouray"
"1740189","-107.67396261","38.02128012","125"," "," ","","5Th Avenue","Court"," "," "," ","125 5Th Avenue Court ","Ouray","","Ouray"
"1740190","-107.67129636","38.02149284","445"," "," ","","Main","Street"," "," "," ","445 Main Street ","Ouray","","Ouray"
"1740191","-107.67597658","38.02151995","432"," "," ","","Oak","Street"," "," "," ","432 Oak Street ","Ouray","","Ouray"
"1740192","-107.67171831","38.02150287","480"," "," ","","Main","Street"," "," "," ","480 Main Street ","Ouray","","Ouray"
