200041,001-006350-346564,NULL,-104.92197712,39.81176110,6350,NULL, ,NULL,Holly,Street,NULL,NULL, ,6350 Holly Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CF87051AC013B5AC02855A8C9E7E74340
200042,001-005365-346565,NULL,-104.91029728,39.79369704,5365,NULL, ,NULL,Newport,Street,NULL,NULL, ,5365 Newport Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C14E2864F423A5AC040295BDD97E54340
200043,001-005599-346566,NULL,-104.91379102,39.79810679,5599,NULL, ,NULL,Monaco,Street,NULL,NULL, ,5599 Monaco Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C74CA578D7B3A5AC0C807035D28E64340
200044,001-005420-346567,NULL,-104.90929787,39.79503516,5420,NULL, ,NULL,Newport,Street,NULL,NULL, ,5420 Newport Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C1C91B2EF313A5AC0203E47B6C3E54340
200045,001-005385-346568,NULL,-104.90416880,39.79327574,5385,NULL, ,NULL,Quebec,Street,NULL,NULL, ,5385 Quebec Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C74E2D5E6DD395AC01090310F8AE54340
200046,001-007000-346569,NULL,-104.90716983,39.79788637,7000,NULL,East,NULL,56Th,Avenue,NULL,NULL, ,7000 East 56Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CE4160E120F3A5AC0003EF82321E64340
200047,001-007060-346570,NULL,-104.90640039,39.79532432,7060,NULL,East,NULL,54Th,Place,NULL,NULL, ,7060 East 54Th Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C6C08C876023A5AC0900EF42FCDE54340
200048,001-005421-346571,NULL,-104.91734911,39.79523644,5421,NULL, ,NULL,Krameria,Street,NULL,NULL, ,5421 Krameria Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C40E90ED9B53A5AC058C0BC4ECAE54340
200049,001-005470-346572,NULL,-104.90934418,39.79619862,5470,NULL, ,NULL,Newport,Street,NULL,NULL, ,5470 Newport Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C982EEAB1323A5AC0D84512D6E9E54340
200050,001-007155-346573,NULL,-104.90596017,39.79391833,7155,NULL,East,NULL,53Rd,Place,NULL,NULL, ,7155 East 53Rd Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C58555C40FB395AC08014A11D9FE54340
200051,001-006880-346574,NULL,-104.90833016,39.79761935,6880,NULL,East,NULL,56Th,Avenue,NULL,NULL, ,6880 East 56Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C6816D714223A5AC0D802096418E64340
200052,001-005555-346575,NULL,-104.91484008,39.79739543,5555,NULL, ,NULL,Locust,Street,NULL,NULL, ,5555 Locust Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CE02A68BD8C3A5AC0C09EAA0D11E64340
200053,001-006395-346576,NULL,-104.91460795,39.79887784,6395,NULL,East,NULL,56Th,Avenue,NULL,NULL, ,6395 East 56Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD42EC4EF883A5AC0D0710EA141E64340
200054,001-005321-346577,NULL,-104.91261836,39.79341076,5321,NULL, ,NULL,Magnolia,Street,NULL,NULL, ,5321 Magnolia Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C548ED756683A5AC058D6E17B8EE54340
