"490121","-104.82578638","39.66884125","13936"," ","East"," ","Vassar","Avenue"," ","APT","101","13936 East Vassar Avenue APT 101","Aurora","80014","Arapahoe"
"490122","-104.82509882","39.6696049","2598"," ","South"," ","Anaheim","Street"," ","APT","302","2598 South Anaheim Street APT 302","Aurora","80014","Arapahoe"
"490123","-104.82510464","39.67028174","2558"," ","South"," ","Anaheim","Street"," ","APT","301","2558 South Anaheim Street APT 301","Aurora","80014","Arapahoe"
"490124","-104.82443084","39.67028758","2557"," ","South"," ","Blackhawk","Street"," ","APT","103","2557 South Blackhawk Street APT 103","Aurora","80014","Arapahoe"
"490125","-104.82510202","39.67065955","2538"," ","South"," ","Anaheim","Street"," ","APT","103","2538 South Anaheim Street APT 103","Aurora","80014","Arapahoe"
"490126","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","308","14010 East Harvard Place APT 308","Aurora","80014","Arapahoe"
"490127","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","317","14010 East Harvard Place APT 317","Aurora","80014","Arapahoe"
"490128","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","413","14010 East Harvard Place APT 413","Aurora","80014","Arapahoe"
"490129","-104.82483627","39.66884195","14036"," ","East"," ","Vassar","Avenue"," ",""," ","14036 East Vassar Avenue ","Aurora","80014","Arapahoe"
"490130","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","307","13956 East Vassar Avenue APT 307","Aurora","80014","Arapahoe"
"490131","-104.82518389","39.66814932","13976"," ","East"," ","Vassar","Avenue"," ","APT","208","13976 East Vassar Avenue APT 208","Aurora","80014","Arapahoe"
"490132","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","304","14056 East Vassar Avenue APT 304","Aurora","80014","Arapahoe"
"490133","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","305","14076 East Vassar Avenue APT 305","Aurora","80014","Arapahoe"
"490134","-104.82483627","39.66884195","14036"," ","East"," ","Vassar","Avenue"," ","APT","202","14036 East Vassar Avenue APT 202","Aurora","80014","Arapahoe"
"490135","-104.82578638","39.66884125","13936"," ","East"," ","Vassar","Avenue"," ","APT","103","13936 East Vassar Avenue APT 103","Aurora","80014","Arapahoe"
"490136","-104.82443781","39.66998863","2577"," ","South"," ","Blackhawk","Street"," ","APT","301","2577 South Blackhawk Street APT 301","Aurora","80014","Arapahoe"
"490137","-104.82510464","39.67028174","2558"," ","South"," ","Anaheim","Street"," ","APT","206","2558 South Anaheim Street APT 206","Aurora","80014","Arapahoe"
"490138","-104.82442821","39.67066539","2537"," ","South"," ","Blackhawk","Street"," ","APT","303","2537 South Blackhawk Street APT 303","Aurora","80014","Arapahoe"
"490139","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","203","14010 East Harvard Place APT 203","Aurora","80014","Arapahoe"
"490140","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","310","14010 East Harvard Place APT 310","Aurora","80014","Arapahoe"
"490141","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","415","14010 East Harvard Place APT 415","Aurora","80014","Arapahoe"
"490142","-104.82518389","39.66814932","13976"," ","East"," ","Vassar","Avenue"," ","APT","205","13976 East Vassar Avenue APT 205","Aurora","80014","Arapahoe"
"490143","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","101","14056 East Vassar Avenue APT 101","Aurora","80014","Arapahoe"
"490144","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","107","14076 East Vassar Avenue APT 107","Aurora","80014","Arapahoe"
"490145","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","214","14076 East Vassar Avenue APT 214","Aurora","80014","Arapahoe"
"490146","-104.82518783","39.66884148","13996"," ","East"," ","Vassar","Avenue"," ","APT","304","13996 East Vassar Avenue APT 304","Aurora","80014","Arapahoe"
"490147","-104.82443781","39.66998863","2577"," ","South"," ","Blackhawk","Street"," ","APT","101","2577 South Blackhawk Street APT 101","Aurora","80014","Arapahoe"
"490148","-104.82443781","39.66998863","2577"," ","South"," ","Blackhawk","Street"," ","APT","307","2577 South Blackhawk Street APT 307","Aurora","80014","Arapahoe"
"490149","-104.82510387","39.66998573","2578"," ","South"," ","Anaheim","Street"," ","APT","307","2578 South Anaheim Street APT 307","Aurora","80014","Arapahoe"
"490150","-104.82442821","39.67066539","2537"," ","South"," ","Blackhawk","Street"," ","APT","103","2537 South Blackhawk Street APT 103","Aurora","80014","Arapahoe"
"490151","-104.82442821","39.67066539","2537"," ","South"," ","Blackhawk","Street"," ","APT","306","2537 South Blackhawk Street APT 306","Aurora","80014","Arapahoe"
"490152","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","312","14010 East Harvard Place APT 312","Aurora","80014","Arapahoe"
"490153","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","301","13956 East Vassar Avenue APT 301","Aurora","80014","Arapahoe"
"490154","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","308","13956 East Vassar Avenue APT 308","Aurora","80014","Arapahoe"
"490155","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","103","14056 East Vassar Avenue APT 103","Aurora","80014","Arapahoe"
"490156","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","304","14076 East Vassar Avenue APT 304","Aurora","80014","Arapahoe"
"490157","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","311","14076 East Vassar Avenue APT 311","Aurora","80014","Arapahoe"
"490158","-104.82518783","39.66884148","13996"," ","East"," ","Vassar","Avenue"," ","APT","103","13996 East Vassar Avenue APT 103","Aurora","80014","Arapahoe"
"490159","-104.82518783","39.66884148","13996"," ","East"," ","Vassar","Avenue"," ","APT","206","13996 East Vassar Avenue APT 206","Aurora","80014","Arapahoe"
"490160","-104.82509882","39.6696049","2598"," ","South"," ","Anaheim","Street"," ","APT","102","2598 South Anaheim Street APT 102","Aurora","80014","Arapahoe"
"490161","-104.82510387","39.66998573","2578"," ","South"," ","Anaheim","Street"," ","APT","202","2578 South Anaheim Street APT 202","Aurora","80014","Arapahoe"
"490162","-104.82510387","39.66998573","2578"," ","South"," ","Anaheim","Street"," ","APT","302","2578 South Anaheim Street APT 302","Aurora","80014","Arapahoe"
"490163","-104.82442821","39.67066539","2537"," ","South"," ","Blackhawk","Street"," ","APT","204","2537 South Blackhawk Street APT 204","Aurora","80014","Arapahoe"
"490164","-104.82442821","39.67066539","2537"," ","South"," ","Blackhawk","Street"," ","APT","304","2537 South Blackhawk Street APT 304","Aurora","80014","Arapahoe"
"490165","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","220","14010 East Harvard Place APT 220","Aurora","80014","Arapahoe"
"490166","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","414","14010 East Harvard Place APT 414","Aurora","80014","Arapahoe"
"490167","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","421","14010 East Harvard Place APT 421","Aurora","80014","Arapahoe"
"490168","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","107","13801 East Yale Avenue APT 107","Aurora","80014","Arapahoe"
"490169","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","222","13801 East Yale Avenue APT 222","Aurora","80014","Arapahoe"
"490170","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","224","13801 East Yale Avenue APT 224","Aurora","80014","Arapahoe"
"490171","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","329","13801 East Yale Avenue APT 329","Aurora","80014","Arapahoe"
"490172","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","513","13801 East Yale Avenue APT 513","Aurora","80014","Arapahoe"
"490173","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","515","13801 East Yale Avenue APT 515","Aurora","80014","Arapahoe"
"490174","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","109E","2670 South Abilene Street APT 109E","Aurora","80014","Arapahoe"
"490175","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","228E","2670 South Abilene Street APT 228E","Aurora","80014","Arapahoe"
"490176","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","313","13956 East Vassar Avenue APT 313","Aurora","80014","Arapahoe"
"490177","-104.82518389","39.66814932","13976"," ","East"," ","Vassar","Avenue"," ","APT","102","13976 East Vassar Avenue APT 102","Aurora","80014","Arapahoe"
"490178","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","204","14056 East Vassar Avenue APT 204","Aurora","80014","Arapahoe"
"490179","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","310","14056 East Vassar Avenue APT 310","Aurora","80014","Arapahoe"
