420039,005-003295-446216,NULL,-105.00801116,39.65670894,3295, ,South, ,Quivas,Street, ,NULL, ,3295 South Quivas Street ,Englewood Co,80110, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C7841394183405AC0C870E2090FD44340
420040,005-003297-446217,NULL,-105.00802247,39.65660891,3297, ,South, ,Quivas,Street, ,NULL, ,3297 South Quivas Street ,Englewood Co,80110, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C1C92AD7083405AC0B0A6C5C20BD44340
420041,005-001303-446218,NULL,-104.81968877,39.73642643,1303, , , ,Sable,Boulevard, ,NULL, ,1303 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CD828E5C775345AC048CA9B3843DE4340
420042,005-001301-446219,NULL,-104.81962204,39.73642675,1301, , , ,Sable,Boulevard, ,NULL, ,1301 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C9C12FEAF74345AC028FC4A3B43DE4340
420043,005-001305-446220,NULL,-104.81976281,39.73642685,1305, , , ,Sable,Boulevard, ,NULL, ,1305 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C70C86DFE76345AC0C8E9323C43DE4340
420044,005-001323-446221,NULL,-104.81970255,39.73688217,1323, , , ,Sable,Boulevard, ,NULL, ,1323 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C24E1AA0176345AC07048A62752DE4340
420045,005-001325-446222,NULL,-104.81976860,39.73688316,1325, , , ,Sable,Boulevard, ,NULL, ,1325 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C68D2B71677345AC0F024F22F52DE4340
420046,005-001321-446223,NULL,-104.81964041,39.73688302,1321, , , ,Sable,Boulevard, ,NULL, ,1321 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CE0A209FD74345AC0A861D22E52DE4340
420047,005-001331-446224,NULL,-104.81962934,39.73702960,1331, , , ,Sable,Boulevard, ,NULL, ,1331 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C34769DCE74345AC098AE6EFC56DE4340
420048,005-001333-446225,NULL,-104.81969776,39.73702939,1333, , , ,Sable,Boulevard, ,NULL, ,1333 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CFC3E9CED75345AC0606AA7FA56DE4340
420049,005-001335-446226,NULL,-104.81976616,39.73703222,1335, , , ,Sable,Boulevard, ,NULL, ,1335 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C50E47B0C77345AC0880E5A1257DE4340
420050,005-001341-446227,NULL,-104.81963710,39.73735890,1341, , , ,Sable,Boulevard, ,NULL, ,1341 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C082430EF74345AC010DEBBC661DE4340
420051,005-001343-446228,NULL,-104.81970737,39.73735768,1343, , , ,Sable,Boulevard, ,NULL, ,1343 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C8CFAEB1576345AC040F88EBC61DE4340
420052,005-001345-446229,NULL,-104.81978394,39.73735651,1345, , , ,Sable,Boulevard, ,NULL, ,1345 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CDCCC0B5777345AC0A861AFB261DE4340
420053,005-001351-446230,NULL,-104.81963304,39.73750679,1351, , , ,Sable,Boulevard, ,NULL, ,1351 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CD8AC27DE74345AC07067649F66DE4340
420054,005-001355-446231,NULL,-104.81977358,39.73750437,1355, , , ,Sable,Boulevard, ,NULL, ,1355 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CE4599F2B77345AC0D09B0A8B66DE4340
