1730063,085-067313-035568,NULL,-107.83277528,38.49296815,67313, , ,NULL,Locust,Road, , , ,67313 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C040634044CF55AC0A881BD61193F4340
1730064,085-067327-035569,NULL,-107.83155154,38.49392195,67327, , ,NULL,Locust,Road, , , ,67327 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C4C2176F737F55AC0F068CBA2383F4340
1730065,085-067341-035570,NULL,-107.83218028,38.49285895,67341, , ,NULL,Locust,Road, , , ,67341 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C24C9994442F55AC01853C3CD153F4340
1730066,085-067361-035571,NULL,-107.83179012,38.49286661,67361, , ,NULL,Locust,Road, , , ,67361 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C547423E03BF55AC0589BFE0D163F4340
1730067,085-067391-035572,NULL,-107.83147060,38.49286358,67391, , ,NULL,Locust,Road, , , ,67391 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CC051F7A336F55AC038BB93F4153F4340
1730068,085-013945-035573,NULL,-107.83911078,38.48961769,13945, , ,NULL,6700,Road, , , ,13945 6700 Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C546C38D1B3F55AC008EB2098AB3E4340
1730069,085-067016-035574,NULL,-107.83840091,38.49625676,67016, ,East,NULL,Borough,Drive, , , ,67016 East Borough Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C8850CF2FA8F55AC0C8B49924853F4340
1730070,085-000010-035575,NULL,-107.85810048,38.48853329,10, , ,NULL,Hillcrest Plaza,Way, , , ,10 Hillcrest Plaza Way ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C1464C9F1EAF65AC0B080830F883E4340
1730071,085-067021-035576,NULL,-107.83752483,38.46030423,67021, , ,NULL,Oak Grove,Road, , , ,67021 Oak Grove Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C54DF47D599F55AC0980C030DEB3A4340
1730072,085-013547-035577,NULL,-107.83905045,38.49537874,13547, , ,NULL,6700,Road, , , ,13547 6700 Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C34942DD4B2F55AC0588E425F683F4340
1730073,085-001223-035578,NULL,-107.84752935,38.47386557,1223, , ,NULL,Leeds,Avenue, , , ,1223 Leeds Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CE4D53EBF3DF65AC0B05ABE6DA73C4340
1730074,085-002479-035579,NULL,-107.84811025,38.47569223,2479, , ,NULL,Sunnyside,Road, , , ,2479 Sunnyside Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C2CFABE4347F65AC07064DA48E33C4340
1730075,085-001227-035580,NULL,-107.84741693,38.47355686,1227, , ,NULL,Leeds,Avenue, , , ,1227 Leeds Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CBC4BC0E73BF65AC0A81E1F509D3C4340
1730076,085-001239-035581,NULL,-107.84752919,38.47294430,1239, , ,NULL,Leeds,Avenue, , , ,1239 Leeds Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C4C1C94BE3DF65AC08863963D893C4340
1730077,085-001221-035582,NULL,-107.84748764,38.47393549,1221, , ,NULL,Leeds,Avenue, , , ,1221 Leeds Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C84FD4B103DF65AC0306946B8A93C4340
1730078,085-063238-035583,NULL,-107.90918088,38.52158162,63238, , ,NULL,Juniper,Road, , , ,63238 Juniper Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CDC7C69D82FFA5AC0702EF7FCC2424340
1730079,085-002650-035584,NULL,-107.90547597,38.50492255,2650, ,North,NULL,Townsend,Avenue, , , ,2650 North Townsend Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C28F6E824F3F95AC0389E8C1AA1404340
1730080,085-001460-035585,NULL,-107.88985315,38.49218665,1460, , ,NULL,Airport,Road, , , ,1460 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C044F162EF3F85AC020A013C6FF3E4340
1730081,085-001645-035586,NULL,-107.89427703,38.49304020,1645, ,North,NULL,Townsend,Avenue, , , ,1645 North Townsend Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CA08232A93BF95AC020793DBE1B3F4340
1730082,085-001601-035587,NULL,-107.89371655,38.49211094,1601, ,North,NULL,Townsend,Avenue, , , ,1601 North Townsend Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CB4785C7A32F95AC0F8EEFD4AFD3E4340
1730083,085-001320-035588,NULL,-107.88921821,38.49082568,1320, , ,NULL,Airport,Road, , , ,1320 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C4CF8F8C6E8F85AC02065772DD33E4340
1730084,085-001350-035589,NULL,-107.88888314,38.49104627,1350, , ,NULL,Airport,Road, , , ,1350 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CC8719849E3F85AC020D0E867DA3E4340
1730085,085-001560-035590,NULL,-107.89155763,38.49362509,1560, , ,NULL,Airport,Road, , , ,1560 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C2037381B0FF95AC0D8BDA0E82E3F4340
1730086,085-002730-035591,NULL,-107.90630809,38.50587874,2730, ,North,NULL,Townsend,Avenue, , , ,2730 North Townsend Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C180213C700FA5AC0A827A96FC0404340
1730087,085-002760-035592,NULL,-107.90655297,38.50617852,2760, ,North,NULL,Townsend,Avenue, , , ,2760 North Townsend Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C345933CA04FA5AC0D03E6C42CA404340
1730088,085-003500-035593,NULL,-107.85884082,38.44444323,3500, , ,NULL,Woodgate,Road, , , ,3500 Woodgate Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C18C80413F7F65AC088E84C51E3384340
1730089,085-001670-035594,NULL,-107.89277550,38.49477519,1670, , ,NULL,Airport,Road, , , ,1670 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C24E0510F23F95AC0E8FA6198543F4340
1730090,085-001650-035595,NULL,-107.89264929,38.49459109,1650, , ,NULL,Airport,Road, , , ,1650 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C4011F7FD20F95AC0085BFD8F4E3F4340
1730091,085-001630-035596,NULL,-107.89242196,38.49443144,1630, , ,NULL,Airport,Road, , , ,1630 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CA4BF70441DF95AC0A09FCE54493F4340
1730092,085-001490-035597,NULL,-107.89051274,38.49259492,1490, , ,NULL,Airport,Road, , , ,1490 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CE88799FCFDF85AC01083EF260D3F4340
1730093,085-001520-035598,NULL,-107.89080187,38.49290402,1520, , ,NULL,Airport,Road, , , ,1520 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C88DF51B902F95AC0D843D447173F4340
1730094,085-001530-035599,NULL,-107.89102608,38.49304230,1530, , ,NULL,Airport,Road, , , ,1530 Airport Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C4C61B76506F95AC010BFD4CF1B3F4340
