1770046,101-001729-191714,NULL,-104.57962381,38.28273870,1729,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,1729 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CB4FB768E18255AC0E87618C830244340
1770047,101-001808-191715,NULL,-104.57870850,38.28221961,1808,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,1808 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CF0345E8F09255AC0782DA7C51F244340
1770048,101-001902-191716,NULL,-104.57710700,38.28227055,1902,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,1902 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C5C0B3652EF245AC0A895007121244340
1770049,101-001920-191717,NULL,-104.57555276,38.28235958,1920,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,1920 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C84673FDBD5245AC040C2D25B24244340
1770050,101-002627-191718,NULL,-104.56346710,38.28292195,2627,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2627 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C0C924DD80F245AC0D06E57C936244340
1770051,101-002630-191719,NULL,-104.56327854,38.28251065,2630,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2630 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C6C1B71C10C245AC0101D174F29244340
1770052,101-002704-191720,NULL,-104.56271273,38.28251647,2704,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2704 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C4006407C03245AC0602CE57F29244340
1770053,101-002705-191721,NULL,-104.56254738,38.28292972,2705,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2705 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C9C41BFC600245AC038F07E0A37244340
1770054,101-002708-191722,NULL,-104.56253895,38.28251819,2708,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2708 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CFC8962A300245AC0E08C4E8E29244340
1770055,101-002712-191723,NULL,-104.56236278,38.28252000,2712,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2712 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C982575C0FD235AC068CA819D29244340
