"1420117","-107.86104641","37.22394805","1295",""," ","","Escalante","Drive","","Unit","30","1295 Escalante Drive Unit 30","","","La Plata"
"1420118","-107.86094429","37.2239508","1295",""," ","","Escalante","Drive","","Unit","32","1295 Escalante Drive Unit 32","","","La Plata"
"1420119","-107.88118566","37.2857031","1935",""," ","","Crestview","Drive","",""," ","1935 Crestview Drive ","","","La Plata"
"1420120","-107.86800197","37.28856936","11",""," ","","Folsom","Place","",""," ","11 Folsom Place ","","","La Plata"
"1420121","-107.84924225","37.29660012","1470",""," ","","Florida","Road","","Unit","7","1470 Florida Road Unit 7","","","La Plata"
"1420122","-107.84908143","37.29672275","1470",""," ","","Florida","Road","","Unit","5","1470 Florida Road Unit 5","","","La Plata"
"1420123","-107.84925641","37.29684467","1470",""," ","","Florida","Road","","Unit","4","1470 Florida Road Unit 4","","","La Plata"
"1420124","-107.84928006","37.29694056","1470",""," ","","Florida","Road","","Unit","3","1470 Florida Road Unit 3","","","La Plata"
"1420125","-107.84929603","37.2970289","1470",""," ","","Florida","Road","","Unit","2","1470 Florida Road Unit 2","","","La Plata"
"1420126","-107.84932783","37.2971187","1470",""," ","","Florida","Road","","Unit","1","1470 Florida Road Unit 1","","","La Plata"
"1420127","-107.86107945","37.22347176","1295",""," ","","Escalante","Drive","","Unit","14","1295 Escalante Drive Unit 14","","","La Plata"
"1420128","-107.86130161","37.22351706","1295",""," ","","Escalante","Drive","","Unit","10","1295 Escalante Drive Unit 10","","","La Plata"
"1420129","-107.86135701","37.22353071","1295",""," ","","Escalante","Drive","","Unit","9","1295 Escalante Drive Unit 9","","","La Plata"
"1420130","-107.86146882","37.22356279","1295",""," ","","Escalante","Drive","","Unit","8","1295 Escalante Drive Unit 8","","","La Plata"
"1420131","-107.86151592","37.22358587","1295",""," ","","Escalante","Drive","","Unit","7","1295 Escalante Drive Unit 7","","","La Plata"
"1420132","-107.86157068","37.2236064","1295",""," ","","Escalante","Drive","","Unit","6","1295 Escalante Drive Unit 6","","","La Plata"
"1420133","-107.86161543","37.2236364","1295",""," ","","Escalante","Drive","","Unit","5","1295 Escalante Drive Unit 5","","","La Plata"
"1420134","-107.86167042","37.22369126","1295",""," ","","Escalante","Drive","","Unit","4","1295 Escalante Drive Unit 4","","","La Plata"
"1420135","-107.86173126","37.22371407","1295",""," ","","Escalante","Drive","","Unit","3","1295 Escalante Drive Unit 3","","","La Plata"
"1420136","-107.86176547","37.22373673","1295",""," ","","Escalante","Drive","","Unit","2","1295 Escalante Drive Unit 2","","","La Plata"
"1420137","-107.86079025","37.22394121","1295",""," ","","Escalante","Drive","","Unit","34","1295 Escalante Drive Unit 34","","","La Plata"
"1420138","-107.86115247","37.22393423","1295",""," ","","Escalante","Drive","","Unit","28","1295 Escalante Drive Unit 28","","","La Plata"
"1420139","-107.86067133","37.22395563","1295",""," ","","Escalante","Drive","","Unit","36","1295 Escalante Drive Unit 36","","","La Plata"
"1420140","-107.86098814","37.22395232","1295",""," ","","Escalante","Drive","","Unit","31","1295 Escalante Drive Unit 31","","","La Plata"
"1420141","-107.86061668","37.22396566","1295",""," ","","Escalante","Drive","","Unit","37","1295 Escalante Drive Unit 37","","","La Plata"
"1420142","-107.86366928","37.2283679","1201",""," ","","Escalante","Drive","",""," ","1201 Escalante Drive ","","","La Plata"
"1420143","-107.86489751","37.27962778","333",""," ","","Fort Lewis","Drive","",""," ","333 Fort Lewis Drive ","","","La Plata"
