"1660094","-108.56086662","39.05546581","701"," "," "," ","Struthers","Avenue"," ",""," ","701 Struthers Avenue ","Grand Junction","81501","Mesa"
"1660095","-108.56025451","39.05487696","715"," "," "," ","Struthers","Avenue"," ",""," ","715 Struthers Avenue ","Grand Junction","81501","Mesa"
"1660096","-108.56120688","39.05516794","655"," "," "," ","Struthers","Avenue"," ",""," ","655 Struthers Avenue ","Grand Junction","81501","Mesa"
"1660097","-108.56089597","39.05028809","810"," "," "," ","Santa Clara","Avenue"," ",""," ","810 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660098","-108.56075317","39.05029512","820"," "," "," ","Santa Clara","Avenue"," ",""," ","820 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660099","-108.56059583","39.05031891","830"," "," "," ","Santa Clara","Avenue"," ",""," ","830 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660100","-108.56039599","39.05061215","834"," "," "," ","Santa Clara","Avenue"," ",""," ","834 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660101","-108.55942916","39.05039093","930"," "," "," ","Santa Clara","Avenue"," ",""," ","930 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660102","-108.55918662","39.05054032","932"," "," "," ","Santa Clara","Avenue"," ",""," ","932 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660103","-108.55899041","39.05029257","940"," "," "," ","Santa Clara","Avenue"," ",""," ","940 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660104","-108.55898804","39.05036117","942"," "," "," ","Santa Clara","Avenue"," ",""," ","942 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660105","-108.55875092","39.05033224","960"," "," "," ","Santa Clara","Avenue"," ",""," ","960 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660106","-108.55804074","39.05027937","1032"," "," "," ","Santa Clara","Avenue"," ",""," ","1032 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660107","-108.55838548","39.05031302","1002"," "," "," ","Santa Clara","Avenue"," ",""," ","1002 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660108","-108.56007091","39.05073389","888"," "," "," ","Santa Clara","Avenue"," ",""," ","888 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660109","-108.56021805","39.0505271","854"," "," "," ","Santa Clara","Avenue"," ",""," ","854 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660110","-108.55744991","39.05033738","1100"," "," "," ","Santa Clara","Avenue"," ",""," ","1100 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660111","-108.55726741","39.05026592","1102"," "," "," ","Santa Clara","Avenue"," ",""," ","1102 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660112","-108.55799586","39.05049473","1034"," "," "," ","Santa Clara","Avenue"," ",""," ","1034 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660113","-108.55984","39.0508071","904"," "," "," ","Santa Clara","Avenue"," ",""," ","904 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660114","-108.55726873","39.04976387","1716"," "," "," ","Roubideau","Street"," ",""," ","1716 Roubideau Street ","Grand Junction","81503","Mesa"
"1660115","-108.55707607","39.04915275","1742"," "," "," ","Roubideau","Street"," ",""," ","1742 Roubideau Street ","Grand Junction","81503","Mesa"
"1660116","-108.55785619","39.04881928","2660"," "," "," ","Unaweep","Avenue"," ",""," ","2660 Unaweep Avenue ","Grand Junction","81503","Mesa"
"1660117","-108.55957629","39.04979442","911"," "," "," ","Santa Clara","Avenue"," ",""," ","911 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660118","-108.55932552","39.04981366","935"," "," "," ","Santa Clara","Avenue"," ",""," ","935 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660119","-108.5591452","39.04981202","949"," "," "," ","Santa Clara","Avenue"," ",""," ","949 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660120","-108.55895065","39.04982434","955"," "," "," ","Santa Clara","Avenue"," ",""," ","955 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660121","-108.55891579","39.04949344","1731"," "," "," ","Palisade","Street"," ",""," ","1731 Palisade Street ","Grand Junction","81503","Mesa"
"1660122","-108.55891135","39.04937144","1737"," "," "," ","Palisade","Street"," ",""," ","1737 Palisade Street ","Grand Junction","81503","Mesa"
"1660123","-108.55892889","39.04913656","1753"," "," "," ","Palisade","Street"," ",""," ","1753 Palisade Street ","Grand Junction","81503","Mesa"
"1660124","-108.55892175","39.04872452","956"," "," "," ","Unaweep","Avenue"," ",""," ","956 Unaweep Avenue ","Grand Junction","81503","Mesa"
"1660125","-108.55965465","39.0487644","1768"," "," "," ","Palmer","Street"," ",""," ","1768 Palmer Street ","Grand Junction","81503","Mesa"
"1660126","-108.55969106","39.04899131","1756"," "," "," ","Palmer","Street"," ",""," ","1756 Palmer Street ","Grand Junction","81503","Mesa"
"1660127","-108.55947278","39.0491601","1748"," "," "," ","Palmer","Street"," ",""," ","1748 Palmer Street ","Grand Junction","81503","Mesa"
"1660128","-108.5594421","39.04952058","1732"," "," "," ","Palmer","Street"," ",""," ","1732 Palmer Street ","Grand Junction","81503","Mesa"
"1660129","-108.55915458","39.04872008","952"," "," "," ","Unaweep","Avenue"," ",""," ","952 Unaweep Avenue ","Grand Junction","81503","Mesa"
"1660130","-108.55890592","39.04886409","1761"," "," "," ","Palisade","Street"," ",""," ","1761 Palisade Street ","Grand Junction","81503","Mesa"
"1660131","-108.56063899","39.04986833","825"," "," "," ","Santa Clara","Avenue"," ",""," ","825 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660132","-108.56041613","39.04987075","829"," "," "," ","Santa Clara","Avenue"," ",""," ","829 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660133","-108.56023154","39.04975962","835"," "," "," ","Santa Clara","Avenue"," ",""," ","835 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660134","-108.5606848","39.04940756","1724"," "," "," ","Aspen","Street"," ",""," ","1724 Aspen Street ","Grand Junction","81503","Mesa"
"1660135","-108.56065342","39.04929289","1740"," "," "," ","Aspen","Street"," ",""," ","1740 Aspen Street ","Grand Junction","81503","Mesa"
"1660136","-108.56085203","39.04881516","812"," "," "," ","Unaweep","Avenue"," ",""," ","812 Unaweep Avenue ","Grand Junction","81503","Mesa"
"1660137","-108.5604088","39.04872971","830"," "," "," ","Unaweep","Avenue"," ",""," ","830 Unaweep Avenue ","Grand Junction","81503","Mesa"
"1660138","-108.56073655","39.0491779","1744"," "," "," ","Aspen","Street"," ",""," ","1744 Aspen Street ","Grand Junction","81503","Mesa"
"1660139","-108.56079323","39.04898578","1750"," "," "," ","Aspen","Street"," ",""," ","1750 Aspen Street ","Grand Junction","81503","Mesa"
"1660140","-108.56023267","39.04907012","1753"," "," "," ","Palmer","Street"," ",""," ","1753 Palmer Street ","Grand Junction","81503","Mesa"
"1660141","-108.5602239","39.04891152","1759"," "," "," ","Palmer","Street"," ",""," ","1759 Palmer Street ","Grand Junction","81503","Mesa"
"1660142","-108.56041727","39.04920896","1745"," "," "," ","Palmer","Street"," ",""," ","1745 Palmer Street ","Grand Junction","81503","Mesa"
"1660143","-108.56020554","39.0494454","1733"," "," "," ","Palmer","Street"," ",""," ","1733 Palmer Street ","Grand Junction","81503","Mesa"
"1660144","-108.56165837","39.04986586","743"," "," "," ","Santa Clara","Avenue"," ",""," ","743 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660145","-108.56140022","39.04979345","757"," "," "," ","Santa Clara","Avenue"," ",""," ","757 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660146","-108.56140691","39.04951303","1733"," "," "," ","Aspen","Street"," ",""," ","1733 Aspen Street ","Grand Junction","81503","Mesa"
"1660147","-108.56144479","39.04936822","1735"," "," "," ","Aspen","Street"," ",""," ","1735 Aspen Street ","Grand Junction","81503","Mesa"
"1660148","-108.56144194","39.04924996","1741"," "," "," ","Aspen","Street"," ",""," ","1741 Aspen Street ","Grand Junction","81503","Mesa"
"1660149","-108.56138532","39.04904797","1751"," "," "," ","Aspen","Street"," ",""," ","1751 Aspen Street ","Grand Junction","81503","Mesa"
"1660150","-108.56136415","39.04876879","1765"," "," "," ","Aspen","Street"," ",""," ","1765 Aspen Street ","Grand Junction","81503","Mesa"
"1660151","-108.56142558","39.04890262","1757"," "," "," ","Aspen","Street"," ",""," ","1757 Aspen Street ","Grand Junction","81503","Mesa"
"1660152","-108.56151132","39.05031968","1681"," "," "," ","Aspen","Street"," ",""," ","1681 Aspen Street ","Grand Junction","81503","Mesa"
"1660153","-108.55511188","39.04998838","1163"," "," "," ","Santa Clara","Avenue"," ",""," ","1163 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660154","-108.55525065","39.0499888","1161"," "," "," ","Santa Clara","Avenue"," ",""," ","1161 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660155","-108.55539581","39.05002058","1159"," "," "," ","Santa Clara","Avenue"," ",""," ","1159 Santa Clara Avenue ","Grand Junction","81503","Mesa"
